role,applyLink,company,experience,salary,location,jobSummary,skills
Client Data Analyst for Sales,https://www.timesjobs.com/job-detail/client-data-analyst-for-sales-xcellence-it-surat-0-to-3-yrs-jobid-hrLL6BR43hpzpSvf__PLUS__uAgZw==&source=srp,Xcellence-IT,0 - 3 Years,Not disclosed,Surat,"Xcellence-IT is a forward-thinking IT solutions company , driven by a passion for innovation and excellence. For over 16 years , weve been at the fo...",data analysis expertise crm tools familiarity research proficiency detail oriented approach communication skills mobile crm management data analyst google docs +7 more
Associate Data Analyst,https://www.timesjobs.com/job-detail/associate-data-analyst-ecolab-pune-0-to-2-yrs-jobid-LC9JFIniTB9zpSvf__PLUS__uAgZw==&source=srp,ECOLAB,0 - 2 Years,Not disclosed,Pune,Job Characteristics:This is an entry level professional position - employee demonstrates the ability to examine data systems and determine relationshi...,sql language usage data governance practices elt / etl strategy quality of data evaluation data requirements generation technical leader data analysis data analyst +5 more
Data Analyst Internship in Pune,https://www.timesjobs.com/job-detail/data-analyst-internship-in-pune-maxgen-technologies-pune-jalgaon-kolhapur-nagpur-solapur-0-to-1-yrs-jobid-d3LQd8Pm__PLUS__6tzpSvf__PLUS__uAgZw==&source=srp,Maxgen Technologies,0 - 1 Years,Not disclosed,"Pune, Jalgaon, Kolhapur, Nagpur, Solapur",Maxgen Technologies pvt ltd is an it company based in pune .we are offering data analystinternship program to fresher candidates .why our servicesenjo...,internship data analyst powerbi
Real Asset Data Analyst,https://www.timesjobs.com/job-detail/real-asset-data-analyst-msci-mumbai-0-to-4-yrs-jobid-8nkB__PLUS__37ea6RzpSvf__PLUS__uAgZw==&source=srp,MSCI,0 - 4 Years,Not disclosed,Mumbai,Your Team ResponsibilitiesThe Real Assets Data Analyst role is associated with the MSCI Real Assets Data team.Your Key ResponsibilitiesWorking as part...,real estate analysis financial reporting ms excel proficiency data management client relationship management reports accounting finance +5 more
Real Asset Data Analyst,https://www.timesjobs.com/job-detail/real-asset-data-analyst-msci-mumbai-0-to-4-yrs-jobid-S2WPaziFYKdzpSvf__PLUS__uAgZw==&source=srp,MSCI,0 - 4 Years,Not disclosed,Mumbai,Your Team ResponsibilitiesThe Real Assets Data Analyst role is associated with the MSCI Real Assets Data team.Your Key ResponsibilitiesWorking as part...,real estate analysis financial performance analysis data management client relationship management process improvement reports accounting excel finance +7 more
Assoc Master Data Analyst,https://www.timesjobs.com/job-detail/assoc-master-data-analyst-iqvia-hyderabad-secunderabad-0-to-2-yrs-jobid-BjROS6vOb3BzpSvf__PLUS__uAgZw==&source=srp,IQVIA,0 - 2 Years,Not disclosed,Hyderabad/Secunderabad,"Under guidance , process requests regarding updating master data elements in our financial system applications. Identify and assist in implementation...",master data management financial analysis process improvement microsoft office proficiency analytical skills erp accounting reporting +6 more
Real Asset Data Analyst,https://www.timesjobs.com/job-detail/real-asset-data-analyst-msci-mumbai-0-to-4-yrs-jobid-OM9bS2kwJpFzpSvf__PLUS__uAgZw==&source=srp,MSCI,0 - 4 Years,Not disclosed,Mumbai,Your Team ResponsibilitiesThe Real Assets Data Analyst role is associated with the MSCI Real Assets Data team.Your Key ResponsibilitiesWorking as part...,real estate analysis client relationship management data analysis skills accounting knowledge ms excel proficiency reports finance +5 more
Junior Data Analyst,https://www.timesjobs.com/job-detail/junior-data-analyst-institutional-shareholder-services-mumbai-0-to-1-yrs-jobid-OPmNkqBkUPdzpSvf__PLUS__uAgZw==&source=srp,institutional shareholder services,0 - 1 Years,Not disclosed,Mumbai,Lets be #BrilliantTogetherISS STOXX is looking for Jr. Data Analyst to join our Global Data Operations team. This position will be permanently based i...,data collection techniques ms office proficiency analytical problem solving attention to detail communication skills recruitment performance appraisals compensation +4 more
Data Analyst Internship in Pune,https://www.timesjobs.com/job-detail/data-analyst-internship-in-pune-maxgen-technologies-pune-jalgaon-kolhapur-nagpur-solapur-0-to-1-yrs-jobid-Y3WMSDYvmLJzpSvf__PLUS__uAgZw==&source=srp,Maxgen Technologies,0 - 1 Years,Not disclosed,"Pune, Jalgaon, Kolhapur, Nagpur, Solapur",Maxgen Technologies Pvt ltd is an it company based in pune .We are offering data analytics internship and power bi program.what makes us differentprof...,data analysis
Data Analysts / HTML Editor,https://www.timesjobs.com/job-detail/data-analysts-html-editor-ace-softex-pvt-ltd-rajkot-0-to-3-yrs-jobid-Rh3P6cZ__PLUS__n__SLASH__1zpSvf__PLUS__uAgZw==&source=srp,ace softex pvt. ltd.,0 - 3 Years,Not disclosed,Rajkot,"Job Description and scope of the work: Need to work in shift hours , first shift ( 6:30a to 2:30p ) for female and ( 2:30p to 10:30p ) second shi...",css xml html
