role,applyLink,company,experience,salary,location,jobSummary,skills
Python Developer,https://www.naukri.com/job-listings-python-developer-shaip-ai-data-india-ahmedabad-0-to-1-years-140225916358,Shaip Ai Data (india),0-1 Yrs,Not disclosed,Ahmedabad,Responsibilities:1+ years of experience of development in PythonStrong understanding of...,"oops
FAST API
Python
Data Structures And Algorithms
Flask
Nosql
Django Rest Api
RDBMS"
"""Lead Python Developer""",https://www.timesjobs.com/job-detail/lead-python-developer-sparks-to-ideas-ahmedabad-0-to-2-yrs-jobid-maGQA7WCJwlzpSvf__PLUS__uAgZw==&source=srp,Sparks To Ideas,0 - 2 Years,3 - 4 Lakhs,Ahmedabad,IT Services Company with expert professionals that provides strategic business solutions and customized software. It is a team of dedicated and highly...,Django Core python advance python Nmphy Pandas Pycharm Machine learning Open CV Data Science Artificial Intelligence +6 more
Python Developer,https://www.timesjobs.com/job-detail/python-developer-seven-consultancy-hyderabad-secunderabad-0-to-3-yrs-jobid-ATqt92bFMIxzpSvf__PLUS__uAgZw==&source=srp,SEVEN CONSULTANCY,0 - 3 Years,Not disclosed,Hyderabad/Secunderabad,"SALARY: 3LPA - 4LPALOCATION: Hyderabad , Telangana , IndiaVACANCIES: 1QUALIFICATION: Any GraduateMALE / FEMALE: BothEXPERIENCE: 3yr - 5yrJOB DETAILS...",rest python web developer storage software developer +1 more
Python Developer,https://www.timesjobs.com/job-detail/python-developer-cloudxlab-bengaluru-bangalore-0-to-3-yrs-jobid-thx23Vzsm__PLUS__JzpSvf__PLUS__uAgZw==&source=srp,cloudxlab,0 - 3 Years,Not disclosed,Bengaluru / Bangalore,"Requirements1.Strong programming knowledge in python , Django , REST APIs2.Ability to multitask , work independently with minimal supervision3.must...",css html5 jquery git linux html mysql rest python github problem solving javascript django web hosting +8 more
Python Developer,https://www.timesjobs.com/job-detail/python-developer-connecting-2-work-thiruvananthapuram-0-to-3-yrs-jobid-8rfk7VC5R71zpSvf__PLUS__uAgZw==&source=srp,CONNECTING 2 WORK,0 - 3 Years,Not disclosed,Thiruvananthapuram,"Job Description Job description Expert in Python , with knowledge of at least one Python web framework Django Familiarity with some ORM ( Object Rel...",security compliance python html5 mobile javascript database django debugging +4 more
python developer,https://www.timesjobs.com/job-detail/python-developer-connecting-2-work-cochin-kochi-ernakulam-0-to-3-yrs-jobid-SRuFh50gmaxzpSvf__PLUS__uAgZw==&source=srp,CONNECTING 2 WORK,0 - 3 Years,Not disclosed,Cochin/ Kochi/ Ernakulam,Job DescriptionUI / ux designer:Job brief :XYZ are looking for a UI / UX Designer to turn our software into easy-to-use products for our clients.UI / ...,ux ux designer photoshop designing illustrator
Python Developer,https://www.timesjobs.com/job-detail/python-developer-connecting-2-work-bengaluru-bangalore-0-to-3-yrs-jobid-DUXY1__PLUS__Mqw8FzpSvf__PLUS__uAgZw==&source=srp,CONNECTING 2 WORK,0 - 3 Years,Not disclosed,Bengaluru / Bangalore,Job Description RequirementsWorking experience on web development using Python / DjangoComfortable with using Django framework.Understanding of web se...,python cache rest api storage javascript react.js database django apache postgresql web technologies .net web development mysql angularjs +10 more
Python Developer,https://www.timesjobs.com/job-detail/python-developer-connecting-2-work-cochin-kochi-ernakulam-0-to-3-yrs-jobid-H6kmUA8Jl55zpSvf__PLUS__uAgZw==&source=srp,CONNECTING 2 WORK,0 - 3 Years,Not disclosed,Cochin/ Kochi/ Ernakulam,"Job Description Expert in Python , with knowledge of at least one Python web framework DjangoFamiliarity with some ORM ( Object Relational Mapper ) ...",security compliance python html5 mobile javascript database django debugging +4 more
Python Developer,https://www.timesjobs.com/job-detail/python-developer-techasoft-pvt-ltd-bengaluru-bangalore-0-to-3-yrs-jobid-a7yPAxSxElFzpSvf__PLUS__uAgZw==&source=srp,Techasoft Pvt Ltd,0 - 3 Years,Not disclosed,Bengaluru / Bangalore,"- Troubleshoot , test and maintain the core product software and databases to ensure strong optimization and functionality- Contribute in all phases ...",python javascript docker django postgresql oops mysql mongodb opencv +4 more
Python Developer,https://www.timesjobs.com/job-detail/python-developer-adroit-learning-and-manpower-pvt-ltd-ahmedabad-0-to-5-yrs-jobid-Gisc8S6O1sBzpSvf__PLUS__uAgZw==&source=srp,ADROIT LEARNING AND MANPOWER PVT LTD,0 - 5 Years,Not disclosed,Ahmedabad,"Experience in application development , particularly , in Python / React / AWS stack. Someone who can work on application development ( APIs / RE...",rest api sql database security devops rest python tornado javascript django infrastructure +6 more
Python Developer,https://www.timesjobs.com/job-detail/python-developer-3ri-technologies-pvt-ltd-pune-0-to-1-yrs-jobid-W8__SLASH__axd9w6ixzpSvf__PLUS__uAgZw==&source=srp,3RI Technologies Pvt Ltd,0 - 1 Years,Not disclosed,Pune,Python DeveloperPosition: Python DeveloperExperience: 0-1 yrsRoles & Responsibilities:Understanding differences between multiple delivery platforms...,python database security django git mobile +1 more
Python Developer,https://www.timesjobs.com/job-detail/python-developer-ahom-technologies-private-limited-gurgaon-0-to-3-yrs-jobid-5cwBjo2MgUpzpSvf__PLUS__uAgZw==&source=srp,AHOM Technologies Private Limited,0 - 3 Years,Not disclosed,Gurgaon,We are hiring for python developers. Ideal candidate should have : Strong understanding of Python Web frameworks: DjangoWeb servers: Apache / NginxD...,rest python html5 javascript jquery sql database management django apache postgresql mysql mongodb +6 more
Python Developer,https://www.timesjobs.com/job-detail/python-developer-young-minds-technology-solutions-pvt-ltd-tirupati-0-to-3-yrs-jobid-rhQUq1Z7fatzpSvf__PLUS__uAgZw==&source=srp,young minds technology solutions pvt ltd,0 - 3 Years,Not disclosed,Tirupati,"Roles & ResponsibilitiesWrite reusable , testable , and efficient codeDesign and implement of low-latency , high-availability , and performant a...",python html5 storage javascript security django +1 more
