role,applyLink,company,experience,salary,location,jobSummary,skills
Software Engineer,https://www.naukri.com/job-listings-software-engineer-performio-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-5-years-210225503400,Performio,0-5 Yrs,Not disclosed,"Bengaluru, Mumbai, New Delhi, Kolkata, Hyderabad, Pune, Chennai","Demonstrated experience as a software engineer, with 0-5 years experience in technology...","Career development
Hibernate
Product engineering
Usage
Front end
Data management
Javascript
Agile"
Developer - .NET,https://www.naukri.com/job-listings-developer-net-farshore-software-development-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-3-years-180225501245,Farshore Software Development (p) Ltd,0-3 Yrs,Not disclosed,"Bengaluru, Mumbai, New Delhi, Kolkata, Hyderabad, Pune, Chennai",Farshore Software Development (P) Ltd is looking for Developer - .NET to join our dynam...,"css
web services
ajax
scalability
jquery
microservices
java
asp.net"
Full Stack Developer,https://www.naukri.com/job-listings-full-stack-developer-techsys-solutions-bengaluru-2-to-5-years-150225504123,Techsys Solutions,2-5 Yrs,₹12-18 LPA,Bengaluru,Join our innovative team as a Full Stack Developer and help build scalable web applications,"React
Node.js
MongoDB
TypeScript
Docker
AWS
REST APIs
Git"
