role,applyLink,company,experience,salary,location,jobSummary,skills
Principal Data Scientist /Senior Data Scientist - NLP/Machine Learning,https://www.naukri.com/job-listings-principal-data-scientist-senior-data-scientist-nlp-machine-learning-benovymed-healthcare-gurugram-0-to-5-years-290125917336,Benovymed Healthcare,0-5 Yrs,Not disclosed,Gurugram,Principal Data Scientist / Senior Data Scientist/Data Scientist - NLP/Machine LearningJ...,"Machine Learning
Data Science
Predictive Modeling
ANN
Data Modelling
CNN
Conceptual modeling
NLP"
Principal Data Scientist /Senior Data Scientist - NLP/Machine Learning,https://www.naukri.com/job-listings-principal-data-scientist-senior-data-scientist-nlp-machine-learning-benovymed-healthcare-noida-0-to-5-years-290125917328,Benovymed Healthcare,0-5 Yrs,Not disclosed,Noida,Principal Data Scientist / Senior Data Scientist/Data Scientist - NLP/Machine LearningJ...,"Machine Learning
Data Science
Predictive Modeling
ANN
Data Modelling
CNN
Conceptual modeling
NLP"
Data Scientist,https://www.timesjobs.com/job-detail/data-scientist-analytics-vidhya-delhi-delhi-ncr-0-to-2-yrs-jobid-__SLASH__Gq1f3IB8xNzpSvf__PLUS__uAgZw==&source=srp,Analytics Vidhya,0 - 2 Years,Not disclosed,"Delhi, Delhi/NCR","Job Description and Responsibilities:Working in a small team led by the Chief Risk Officer and the co-founder of company , the data scientist will wo...",data science predictive modeling data scientist
Data Scientist,https://www.timesjobs.com/job-detail/data-scientist-seven-consultancy-hyderabad-secunderabad-0-to-3-yrs-jobid-tBOu__SLASH__GvhdVFzpSvf__PLUS__uAgZw==&source=srp,SEVEN CONSULTANCY,0 - 3 Years,Not disclosed,Hyderabad/Secunderabad,"SALARY: 4LPA - 5LPALOCATION: Hyderabad , Telangana , IndiaVACANCIES: 1QUALIFICATION: Any GraduateMALE / FEMALE: MaleEXPERIENCE: MS / BS ( statistics...",advanced analytics data analytics big data analytics data science data scientist +2 more
Data Scientist,https://www.timesjobs.com/job-detail/data-scientist-seven-consultancy-mumbai-0-to-3-yrs-jobid-q2N__SLASH__IgA3fptzpSvf__PLUS__uAgZw==&source=srp,SEVEN CONSULTANCY,0 - 3 Years,Not disclosed,Mumbai,"1.Python Programming2.Strong OOPS Concepts3.Strong knowledge in CS fundamentals - Datastructures , algorithm design & Problem-solving4.Experience i...",security devops hadoop api big data project delivery +1 more
Data Scientist,https://www.timesjobs.com/job-detail/data-scientist-connecting-2-work-thiruvananthapuram-0-to-3-yrs-jobid-Tbd4A3qsBvNzpSvf__PLUS__uAgZw==&source=srp,CONNECTING 2 WORK,0 - 3 Years,Not disclosed,Thiruvananthapuram,"Job Description Job DescriptionA Data and Analytics Engineer Senior is responsible for development , expansion and maintenance of data pipelines of t...",hive data mining bi sql database java hadoop big data python c impala mapreduce hdfs +7 more
Data Scientist,https://www.timesjobs.com/job-detail/data-scientist-intersoftkk-india-pvt-ltd-bengaluru-bangalore-0-to-3-yrs-jobid-3XLOu1uxyZFzpSvf__PLUS__uAgZw==&source=srp,INTERSOFTKK ( INDIA ) PVT. LTD.,0 - 3 Years,Not disclosed,Bengaluru / Bangalore,"Company Description Intersoft is a global business and technology consulting firm primarily serving consumer banks , wealth management firms , insur...",algorithms css jquery database git uml technology consulting oops html big data oracle sas problem solving svn machine learning javascript ooad +11 more
Data Scientist,https://www.timesjobs.com/job-detail/data-scientist-larsen-toubro-infotech-ltd-mumbai-0-to-1-yrs-jobid-HT__SLASH__bBDzw__PLUS__z9zpSvf__PLUS__uAgZw==&source=srp,Larsen & Toubro Infotech Ltd,0 - 1 Years,Not disclosed,Mumbai,SkillsMACHINE LEARNINGDATA ANALYSISANALYTICSPYTHONDATA MININGJAVAMinimum QualificationMASTER OF BUSINESS ADMINISTRATION ( MBA ) Data Scientist respon...,machine learning data analysis data mining python programming data visualization algorithms ds java +5 more
Data Scientist,https://www.timesjobs.com/job-detail/data-scientist-seven-consultancy-hyderabad-secunderabad-0-to-3-yrs-jobid-speyAx3GjnBzpSvf__PLUS__uAgZw==&source=srp,SEVEN CONSULTANCY,0 - 3 Years,Not disclosed,Hyderabad/Secunderabad,"SALARY: 5LPA - 6LPALOCATION: Hyderabad , Telangana , IndiaVACANCIES: 11 ) Understanding busisness objectives and developing models that help to ach...",algorithms python artificial intelligence java
Data Scientist,https://www.timesjobs.com/job-detail/data-scientist-m-s-fast-and-furious-consulting-bengaluru-bangalore-0-to-3-yrs-jobid-H__SLASH____SLASH__Jb__PLUS__JqRxhzpSvf__PLUS__uAgZw==&source=srp,M / s Fast and Furious Consulting,0 - 3 Years,Not disclosed,Bengaluru / Bangalore,"Data Scientist Key Skill : NLP , data scienResponsibilities Looking for talented engineers with interests in Machine Learning & Data Science.- Desi...",algorithms python machine learning
Data Scientist,https://www.timesjobs.com/job-detail/data-scientist-sigmoid-kharagpur-bengaluru-bangalore-0-to-3-yrs-jobid-9QWu2cADoUVzpSvf__PLUS__uAgZw==&source=srp,Sigmoid,0 - 3 Years,Not disclosed,"Kharagpur, Bengaluru / Bangalore",About Sigmoid AnalyticsSigmoid is a data solutions consulting company focused on building data engineering & amp; data science solutions for large te...,strong learning acumen | team player | data interpretation | problem solver | technology lover algorithms data extraction java linux big data san python machine learning informationtechnology +10 more
Data Scientist,https://www.timesjobs.com/job-detail/data-scientist-ap-moller-maersk-shipping-bengaluru-bangalore-0-to-1-yrs-jobid-sJfqnSVI__PLUS__xVzpSvf__PLUS__uAgZw==&source=srp,ap moller-maersk shipping,0 - 1 Years,Not disclosed,Bengaluru / Bangalore,Opportunity Data Scientist Transported by Maersk Data & amp; AnalyticsMaersk is improving life for all by integrating the world. From the farm to yo...,data science expertise predictive modeling machine learning techniques python programming statistical analysis docker devops github microsoft azure +5 more
Data Scientist,https://www.timesjobs.com/job-detail/data-scientist-hr-empower-consultancy-rajkot-una-ropar-jaipur-muzaffarnagar-0-to-1-yrs-jobid-7p2uEoPX17lzpSvf__PLUS__uAgZw==&source=srp,HR Empower Consultancy,0 - 1 Years,Not disclosed,"Rajkot, Una, Ropar, Jaipur, Muzaffarnagar",Data Scientist Roles and ResponsibilitiesData mining or extracting usable data from valuable data sourcesUsing machine learning toolsto select feature...,Data mining Python SQL SVM Machine Learning matplotlib Tableau Problem-solving aptitude Data Analyst +4 more
Data Scientist,https://www.timesjobs.com/job-detail/data-scientist-hr-empower-consultancy-ahmedabad-tezpur-fatehabad-mangalore-satna-0-to-1-yrs-jobid-P3swb8f6M__PLUS__lzpSvf__PLUS__uAgZw==&source=srp,HR Empower Consultancy,0 - 1 Years,Not disclosed,"Ahmedabad, Tezpur, Fatehabad, Mangalore, Satna",Data Scientist Roles and ResponsibilitiesData mining or extracting usable data from valuable data sourcesUsing machine learning toolsto select feature...,Data mining Python SQL SVM Machine Learning matplotlib Tableau Problem-solving aptitude Data Analyst +4 more
Senior AI Data Scientist,https://www.timesjobs.com/job-detail/senior-ai-data-scientist-seven-consultancy-delhi-delhi-ncr-0-to-3-yrs-jobid-Oj6lflLq3KNzpSvf__PLUS__uAgZw==&source=srp,SEVEN CONSULTANCY,0 - 3 Years,Not disclosed,"Delhi, Delhi/NCR","JOB DETAILS1.Originate new Analytics & AI opportunities in partnership with Global Markets , Sectors and IBM Brands2.Work closely with the deal team...",c artificial intelligence Data Scientist
Junior AI Data Scientist,https://www.timesjobs.com/job-detail/junior-ai-data-scientist-seven-consultancy-mumbai-0-to-3-yrs-jobid-nVfy80jazYVzpSvf__PLUS__uAgZw==&source=srp,SEVEN CONSULTANCY,0 - 3 Years,Not disclosed,Mumbai,"1.Originate new Analytics & AI opportunities in partnership with Global Markets , Sectors and IBM Brands2.Work closely with the deal teams to shape ...",c artificial intelligence Junior AI Data Scientist
Data Scientist Intern,https://www.timesjobs.com/job-detail/data-scientist-intern-3ri-technologies-pvt-ltd-pune-0-to-3-yrs-jobid-oM1P5__PLUS__L11__SLASH__ZzpSvf__PLUS__uAgZw==&source=srp,3RI Technologies Pvt Ltd,0 - 3 Years,Not disclosed,Pune,: Data Scientist InternJob Profile: Data Scientist InternLocation: PuneDuration: 6 monthsStipend: 10K Per MonthAdditional Benefits: Letter of Recommen...,machine learning data visualization data querying statistical software communication skills algorithms business rules +4 more
Associate Data Scientist,https://www.timesjobs.com/job-detail/associate-data-scientist-amgen-hyderabad-secunderabad-0-to-3-yrs-jobid-RMFXc3nhduNzpSvf__PLUS__uAgZw==&source=srp,AMGEN,0 - 3 Years,Not disclosed,Hyderabad/Secunderabad,"Career CategoryInformation SystemsJoin Amgens Mission of Serving PatientsAt Amgen , if you feel like youre part of something bigger , its because yo...",data analysis techniques statistical software usage data visualization tools quality compliance knowledge analytical problem solving bi dashboards sql sas spotfire data analyst tableau data cleaning +11 more
Associate Data Scientist,https://www.timesjobs.com/job-detail/associate-data-scientist-amgen-hyderabad-secunderabad-0-to-3-yrs-jobid-XdoM7uJNDrNzpSvf__PLUS__uAgZw==&source=srp,AMGEN,0 - 3 Years,Not disclosed,Hyderabad/Secunderabad,"Career CategoryInformation SystemsJoin Amgens Mission of Serving PatientsAt Amgen , if you feel like youre part of something bigger , its because yo...",data analysis techniques statistical software usage data visualization tools quality compliance knowledge analytical problem solving bi dashboards sql sas spotfire data analyst tableau data cleaning +11 more
Associate Data Scientist,https://www.timesjobs.com/job-detail/associate-data-scientist-amgen-hyderabad-secunderabad-0-to-3-yrs-jobid-IDO__PLUS__gxxzx9RzpSvf__PLUS__uAgZw==&source=srp,AMGEN,0 - 3 Years,Not disclosed,Hyderabad/Secunderabad,"Career CategoryInformation SystemsJoin Amgens Mission of Serving PatientsAt Amgen , if you feel like youre part of something bigger , its because yo...",data analysis techniques statistical software usage data visualization tools quality compliance knowledge analytical problem solving bi dashboards sql sas spotfire data analyst tableau data cleaning +11 more
Senior AI Data Scientist,https://www.timesjobs.com/job-detail/senior-ai-data-scientist-seven-consultancy-bengaluru-bangalore-0-to-3-yrs-jobid-h1yg31hsKYlzpSvf__PLUS__uAgZw==&source=srp,SEVEN CONSULTANCY,0 - 3 Years,Not disclosed,Bengaluru / Bangalore,"JOB DETAILS1.Originate new Analytics & AI opportunities in partnership with Global Markets , Sectors and IBM Brands2.Work closely with the deal team...",c artificial intelligence data assets
Assistant Data Scientist,https://www.timesjobs.com/job-detail/assistant-data-scientist-rocket-software-chennai-0-to-2-yrs-jobid-SWcGZp__SLASH__X7F5zpSvf__PLUS__uAgZw==&source=srp,Rocket Software,0 - 2 Years,Not disclosed,Chennai,It's fun to work in a company where people truly BELIEVE in what they're doing!Summary:Rocket's Data Modernization Business Unit aids customers in man...,machine learning models python programming data science methodologies problem solving communication skills business partner interpersonal skills workforce immigration creative thinking +8 more
AI / ML and Data Scientist,https://www.timesjobs.com/job-detail/ai-ml-and-data-scientist-xcellence-it-surat-0-to-9-yrs-jobid-1kGyyyJIf9JzpSvf__PLUS__uAgZw==&source=srp,Xcellence-IT,0 - 9 Years,Not disclosed,Surat,"As a Machine Learning , Data , and Research Scientist , you will hold a multifaceted role , responsible for developing and advancing AI and machin...",machine learning model development data analysis natural language processing ( nlp ) cloud computing platforms research and problem solving python artificial intelligence security +6 more
Principal Data Scientist,https://www.timesjobs.com/job-detail/principal-data-scientist-quadratyx-hyderabad-secunderabad-0-to-3-yrs-jobid-hq3BFfZcT__PLUS__RzpSvf__PLUS__uAgZw==&source=srp,quadratyx,0 - 3 Years,Not disclosed,Hyderabad/Secunderabad,"Job Description: We are looking for leaders in the data science domain , who should not only be passionate about building new algorithms and filing p...",algorithms scala artificial intelligence hadoop big data technical skills python natural language processing solution delivery problem solving machine learning production environment leadership skills +9 more
Junior / Senior Data Scientist,https://www.timesjobs.com/job-detail/junior-senior-data-scientist-cloudxlab-bengaluru-bangalore-0-to-3-yrs-jobid-2VMObLvvmTdzpSvf__PLUS__uAgZw==&source=srp,cloudxlab,0 - 3 Years,Not disclosed,Bengaluru / Bangalore,Responsibilities ( but not limited to ) :Understand the business problem end to end and document them in a way that the business can comprehend Trans...,algorithms sql docker git debugging data structures api python machine learning +4 more
Junior Data Scientist,https://www.timesjobs.com/job-detail/junior-data-scientist-analytics-vidhya-mumbai-0-to-2-yrs-jobid-1ySiW3U__SLASH__fPNzpSvf__PLUS__uAgZw==&source=srp,Analytics Vidhya,0 - 2 Years,Not disclosed,Mumbai,"You will collaborate with the brightest technical minds in building futuristic products , researching ground-breaking concepts , and influencing new...",algorithms nosql hadoop big data
Chief Data Scientist,https://www.timesjobs.com/job-detail/chief-data-scientist-seven-consultancy-bengaluru-bangalore-0-to-3-yrs-jobid-Ws6Ppi9KX5FzpSvf__PLUS__uAgZw==&source=srp,SEVEN CONSULTANCY,0 - 3 Years,Not disclosed,Bengaluru / Bangalore,"1.Python Programming2.Strong OOPS Concepts3.Strong knowledge in CS fundamentals - Datastructures , algorithm design & Problem-solving4.Experience i...",fundamentals python machine learning apache infrastructure oops +2 more
Senior Associate Data Scientist,https://www.shine.com/jobs/senior-associate-data-scientist/ntt-data/16667726,NTT DATA,3 to 7 Yrs,Other Karnataka,Data Science • Analytics+10
Data Scientist and GenAI Consultant - T2/T3/T4,https://www.shine.com/jobs/data-scientist-and-genai-consultant-t2-t3-t4/sap/16634672,SAP,3 to 7 Yrs,Other Haryana,ML • Computer Science • Data Analytics+4
"Data Scientist Commercial Data Capabilities, JP/Politi ...",https://www.shine.com/jobs/data-scientist-commercial-data-capabilities-jp-politikens-hus/jp-politikens-hus/16641519,JP/Politikens Hus,3 to 7 Yrs,Other Karnataka,Machine Learning • Python • SQL • AWS+3
Data Scientist with Python Gen AI & Cloud,https://www.shine.com/jobs/data-scientist-with-python-gen-ai-cloud/reqpedia/16653985,Reqpedia,5 to 9 Yrs,Other Haryana,Python • Machine Learning • Azure+9
"Data Scientist, Sr. Manager",https://www.shine.com/jobs/data-scientist-sr-manager/unimorph-consulting-llp/16662228,UNIMORPH CONSULTING LLP,8 to 13 Yrs,"Bangalore
+1",python • machine learning • snowflake+7
Data Scientist II,https://www.shine.com/jobs/data-scientist-ii/microsoft/16574093,Microsoft,3 to 7 Yrs,"Hyderabad
+1",Data • Applied Sciences+20
Remote Opportunity as a Data Scientist with Dataiku,https://www.shine.com/jobs/remote-opportunity-as-a-data-scientist-with-dataiku/emagine/16569432,emagine,3 to 7 Yrs,All India,Dash • Data Scientist+6
Lead Data Scientist,https://www.shine.com/jobs/lead-data-scientist/ericsson/16619291,Ericsson,6 to 10 Yrs,"Kolkata
+1",NLP • Python • Spark • Data analysis+26
Staff Data Scientist - Technology Development,https://www.shine.com/jobs/staff-data-scientist-technology-development/micron-technology/16598850,Micron Technology,3 to 7 Yrs,"Hyderabad
+1",Statistical Modeling+24
Crayon Data - Data Scientist - Machine Learning,https://www.shine.com/jobs/crayon-data-data-scientist-machine-learning/crayon-data/16662552,Crayon Data,5 to 9 Yrs,"Chennai
+1",Machine Learning • Deep Learning+11
Senior/Lead Data Scientist,https://www.shine.com/jobs/senior-lead-data-scientist/tide/16546153,Tide,8 to 12 Yrs,All India,Machine Learning • Fraud Detection+10
Senior Data Scientist - Operation Research,https://www.shine.com/jobs/senior-data-scientist-operation-research/realtek-consulting-llc/16536880,Realtek Consulting LLC,2 to 10 Yrs,"Chennai
+1",Operations Research • AWS • Python+3
"Data Scientist, University Graduate, 2025",https://www.shine.com/jobs/data-scientist-university-graduate/google/16635847,Google,0 to 4 Yrs,Other Karnataka,Statistics • Biostatistics+19
Senior Data Scientist (Artificial Intelligence Machine ...,https://www.shine.com/jobs/senior-data-scientist-artificial-intelligence-machine-learning/fis-global/16635843,FIS Global,4 to 8 Yrs,"Other Maharashtra
+1",Sentiment analysis • machine learning+14
Lead Data Scientist,https://www.shine.com/jobs/lead-data-scientist/shri-sai-tech-llc/16635906,Shri Sai Tech LLC,2 to 7 Yrs,"Other Maharashtra
+1",Machine Learning • Statistical Analysis+16
"Manager, Data Scientist",https://www.shine.com/jobs/manager-data-scientist/mastercard/16638656,Mastercard,5 to 9 Yrs,Other Haryana,Alteryx • Python • Spark • Hadoop+7
Engro Technologies - Data Scientist - SAS Viya Platform,https://www.shine.com/jobs/engro-technologies-data-scientist-sas-viya-platform/engro-technologies/16642806,Engro Technologies,2 to 6 Yrs,"Noida
+1",ML • Natural Language Processing • NLP+5
Lead Data Scientist - People Analytics,https://www.shine.com/jobs/lead-data-scientist-people-analytics/citi/16645374,Citi,5 to 9 Yrs,"Other Maharashtra
+1",SQL • Python • Oracle • Snowflake+20
Senior Data Scientist,https://www.shine.com/jobs/senior-data-scientist/actualisation/16652524,Actualisation,2 to 6 Yrs,Other Punjab,Python • R • Statistical Analysis+9
Clinical Data Scientist (Multiple Roles/Clinical Data M ...,https://www.shine.com/jobs/clinical-data-scientist-multiple-roles-clinical-data-manager/novartis/16653118,Novartis,2 to 6 Yrs,"Hyderabad
+1",Data Management+7
