role,applyLink,company,experience,salary,location,jobSummary,skills
UI UX Developer,https://www.shine.com/jobs/ui-ux-developer/iaaptha-techno-solutions/16601080,iAaptha Techno Solutions,2 to 6 Yrs,"Chennai
+1",C • SQL Server • JavaScript • JQuery+2
Ui Ux Developer,https://www.shine.com/jobs/ui-ux-developer/diraa-hr-services/16582612,DIRAA HR SERVICES Hiring For CLIENT...,0 to 2 Yrs,"Bangalore
+2",user research • collaboration+2
UI UX Developer ( Graphic Designer ),https://www.shine.com/jobs/ui-ux-developer-graphic-designer/enterslice/16541355,ENTERSLICE,2 to 6 Yrs,"Noida
+1",Photoshop • Adobe Illustrator • Flash+3
Freelance - UI UX Designer,https://www.shine.com/jobs/freelance-ui-ux-designer/procreator-global-ui-ux-design-agency/16421382,ProCreator - Global UI UX Design Ag...,4 to 8 Yrs,"Other Maharashtra
+1",UIUX design • Figma • Adobe XD+2
UI UX Developer,https://www.shine.com/jobs/ui-ux-developer/programmingcom/16541402,Programming.com,5 to 9 Yrs,Other Maharashtra,Html • CSS • Angular • JavaScript+2
UI UX Developer,https://www.shine.com/jobs/ui-ux-developer/edpi-innovate/16556827,EdPi Innovate,2 to 6 Yrs,Delhi,HTML • CSS • JavaScript+7
Long-term & Short-term Internship in Madurai,https://www.shine.com/jobs/long-term-short-term-internship-in-madurai/kevell-guru/16546485,KEVELL GURU,0 to 4 Yrs,"Madurai
+1",Web Development • Android+9
Senior Frontend Developer (React.js),https://www.shine.com/jobs/senior-frontend-developer-reactjs/akshya-patra-services/16654213,Akshya Patra Services,5 to 9 Yrs,Other Karnataka,agile methodologies • web applications+18
Senior UI UX Designer,https://www.shine.com/jobs/senior-ui-ux-designer/procreator-global-ui-ux-design-agency/16281869,ProCreator - Global UI UX Design Ag...,3 to 7 Yrs,"Other Maharashtra
+1",Client Interaction+9
Wordpress Developer,https://www.shine.com/jobs/wordpress-developer/monsoonfish-inc-ux-ui-design-agency/16591122,Monsoonfish Inc. UX & UI Design age...,2 to 6 Yrs,"Other Maharashtra
+1",Wordpress • HTML • CSS • JavaScript+1
UI UX Developer,https://www.shine.com/jobs/ui-ux-developer/rigel-networks/16506577,Rigel Networks,2 to 6 Yrs,"Other Gujarat
+1",UI Design • UX Design • Wireframing+10
UI UX Developer,https://www.shine.com/jobs/ui-ux-developer/gainwell-technologies/16332474,Gainwell Technologies,8 to 12 Yrs,Other Karnataka,HTML • CSS • JavaScript • Wireframing+11
Frontend Developer (Angular),https://www.shine.com/jobs/frontend-developer-angular/wattmonk-technologies/16649330,Wattmonk Technologies,2 to 6 Yrs,Other Haryana,Angular • HTML5 • JavaScript+4
Frontend Developer (Adobe Experience Manager),https://www.shine.com/jobs/frontend-developer-adobe-experience-manager/remote-office/16486962,Remote Office,2 to 6 Yrs,All India,HTML • CSS • JavaScript+16
Senior Frontend Developer (React.js),https://www.shine.com/jobs/senior-frontend-developer-reactjs/ikastar/16669497,Ikastar,8 to 12 Yrs,"Other Tamil Nadu
+1",UI • Javascript+18
Junior Frontend Developer,https://www.shine.com/jobs/junior-frontend-developer/developer-bazaar-technologies/16552463,Developer Bazaar Technologies,0 to 3 Yrs,"Indore
+1",HTML • CSS • Bootstrap • JavaScript+2
